asset_number,title,department,manufacturer,manufacturer_model_number,manufacturer_serial_number,vendor,vendor_catalog_number,purchase_order_number,portable,asset_description,intended_use,process_range,classification,new_SOP,new_logbooks,calibration_required,calibration_justification_no,calibration_description,calibration_frequency,maintenance_required,maintenance_justification_no,maintenance_description,maintenance_frequency,scan_attached,tier_level,qual_val_needed,validation_justification_no,validation_description,protocol_number,comments
0015,Pump,PD,Watson Marlow,520S / R2 PUMP,F031392,,,,Yes,Pump,Solution transfers,n/a,Other,Yes,No,Yes,Item is measured at time of use. Varibales are the speed setting and the tubing size. Flowrate is measured manually; therefore speed settings need not be calibrated,,FALSE,Yes,n/a,,PM-12,,,No,,,n/a,as per chris kelly 9-25-09
0016,Pump,PD,Watson Marlow,520S / R2 PUMP,F031393,,,,Yes,Pump,Solution transfers,n/a,Other,Yes,No,Yes,Item is measured at time of use. Varibales are the speed setting and the tubing size. Flowrate is measured manually; therefore speed settings need not be calibrated,,FALSE,Yes,n/a,,PM-12,,,No,,,n/a,as per chris kelly 9-25-09
0017,Pump,,Watson Marlow,520S / R2 PUMP,F031394,Tom Moss,060.2009.02A,1084,Yes,Pump,Solution transfers,n/a,Other,Yes,No,No,Item is measured at time of use. Varibales are the speed setting and the tubing size. Flowrate is measured manually; therefore speed settings need not be calibrated,,FALSE,Yes,n/a,,PM-12,,,No,,,n/a,orig belonged to MFG
0018,Pipet lite LTS 12-CH pipet 20-200ul,QC,Rainin,L12-200,A0500247A,Rainin,L12-200,1132,Yes,Pipet lite LTS 12-CH pipet 20-200ul,Used to preform various QC testing on components; In'process material; drug substance and drug product,20 mL to 200 mL,GMP,No,No,Yes,n/a,20 ul = +/- 2.5%; 200 ul = +/- 0.8%,CAL-6,Yes,n/a,n/a,PM-6,Yes,Tier 4,No,n/a,n/a,n/a,Level 4
0019,Pipet lite LTS 12-CH pipet 100-1000ul,QC,Rainin,L-1000,C0500768A,Rainin,L-1000,1132,Yes,Pipet lite LTS 12-CH pipet 100-1000ul,Used to preform various QC testing on components; In'process material; drug substance and drug product,100 µL to 1000 µL,GMP,No,No,Yes,n/a,100 ul = +/- 3%; 500 ul = +/- 0.8%; 1000 ul = +/- 0.8%,CAL-6,Yes,n/a,n/a,PM-6,Yes,Tier 4,No,n/a,n/a,n/a,Level 4
0020,Pipette lite LTS pipet 20-200ul,QC,Rainin,L-200,C0501500A,Rainin,L-200,1132,Yes,Pipette lite LTS pipet 20-200ul,Used to preform various QC testing on components; In'process material; drug substance and drug product,20 mL to 200 mL,GMP,No,No,Yes,n/a,20 ul = +/- 2.5%; 100 ul = +/- 0.8%; 200 ul = +/- 0.8%,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,Level 4
0021,Pipettte lite LTS pipet 10-100ul,QC,Rainin,L-100,C0505596A,Rainin,L-100,1132,Yes,Pipettte lite LTS pipet 10-100ul,Used to preform various QC testing on components; In'process material; drug substance and drug product,10 µL to 100 µL,GMP,No,No,Yes,n/a,10 ul = +/- 3.5%; 50 & 100 ul = +/- 0.8%,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,Level 4
0022,Pipette lite LTS pipet 0.5-10ul,QC,Rainin,L-10,C0504490A,Rainin,L-10,1132,Yes,Pipette lite LTS pipet 0.5-10ul,Used to preform various QC testing on components; In'process material; drug substance and drug product,1 µL to 10 µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,Level 4
0023,Pipette lite LTS pipet 2-20ul,,Rainin,L-20,A0504632A,,,,Yes,Pipette lite LTS pipet 2-20ul,Sampling; media and Buffers preperation,2µL to 20µL ,Other,No,No,Yes,n/a,,CAL-6,Yes,Maintenance is part of calibration procedure,,PM-6,,,No,,,n/a,Level 2-owner/loc??
0024,Pipet lite LTS pipet 2-20ul,,Rainin,L-21,A0504632A,Rainin,L-20,1151,Yes,Pipet lite LTS pipet 2-20ul,Sampling; media and Buffers preperation,20µL to 200µL ,Other,No,No,Yes,n/a,+/- 3%,CAL-12,No,Maintenance is part of calibration procedure,,FALSE,,,No,,,n/a,orig belonged to MFG
0025,Pipette lite LTS pipet 2-20ul,QC,Rainin,L-20,A0506332A,Rainin,L-20,1151,Yes,Pipette lite LTS pipet 2-20ul,Sampling; media and buffer preparation,2 µL to 20 µL,GMP,No,No,Yes,n/a,2 ul = +/- 7.5%; 10 ul = +/- 1.5%; 20 ul = +/- 1%,CAL-6,Yes,Maitenance is part of calibration schedule,,PM-6,,,No,,,n/a,Level 4
0026,Pipet lite LTS pipet 20-200ul,QC,Rainin,L-200,A0506263A,Rainin,L-200,1151,Yes,Pipet lite LTS pipet 20-200ul,Sampling; media and buffer preparation,20 µL to 200 µL,GMP,No,No,Yes,n/a,20 ul = +/- 2.5%; 100 & 200 ul = +/- 0.8%,CAL-6,Yes,Maitenance is part of calibration schedule,,PM-6,,,No,,,n/a,Level 4
0027,Pipette lite LTS pipet 20-200ul,,Rainin,L-22,A0504632A,,,1152,Yes,Pipette lite LTS pipet 20-200ul,Sampling; media and Buffers preperation,20µL to 200µL ,Other,No,No,Yes,n/a,error @ 10% is +/-7.5%; @ 50% is 1.5% & @ 100% is +/-1%,CAL-13,Yes,Maintenance is part of calibration procedure,,FALSE,,,No,,,n/a,Level 20-owner/loc??
0028,Pipet lite LTS pipet 20-200ul,QC,Rainin,L-200,A0506267A,Rainin,L-200,1151,Yes,Pipet lite LTS pipet 20-200ul,Sampling; media and buffer preparation,20 µL to 200 µL,GMP,No,No,Yes,n/a,20 ul = +/- 2.5%; 100 & 200 ul = +/- 0.8%,CAL-6,No,Maitenance is part of calibration schedule,,FALSE,,,No,,,n/a,Level 4
0029,Pipet lite LTS pipet 100-1000ul,PD,Rainin,L-23,A0508803A,Rainin,L-1000,1153,Yes,Pipet lite LTS pipet 100-1000ul,Sampling; media and Buffers preperation,100µL to 1000µL ,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,No,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
0030,Pipet lite LTS pipet 100-1000ul,QC,Rainin,L-1000,A0508109A,Rainin,L-1000,1151,Yes,Pipet lite LTS pipet 100-1000ul,Sampling; media and buffer preparation,100 µL to 1000 µL,GMP,No,No,Yes,n/a,100 ul = +/- 3%; 500 & 1000 ul = +/- 0.8%,CAL-6,Yes,Maitenance is part of calibration schedule,,PM-6,,,No,,,n/a,Level 4
0031,Pipet lite LTS pipet 100-1000ul,QC,Rainin,L-1000,A0508121A,Rainin,L-1000,1151,Yes,Pipet lite LTS pipet 100-1000ul,Sampling; buffer and media prep,100 µL to 1000 µL,GMP,No,No,Yes,n/a,100 ul = +/- 3%; 500 & 1000 ul = +/- 0.8%,CAL-6,Yes,Maitenance is part of calibration schedule,,PM-6,,,No,,,n/a,Level 4
0032,Particle Counter with Temp/RH Sensor (Part # G3120),,Met One,GT-521,E2077,,,,Yes,Particle Counter with Temp/RH Sensor (Part # G3120),To determine the level of total particular in the CMF,n/a,Other,Yes,Yes,Yes,n/a,,FALSE,Yes,Particle counter manual does not require schecduled preventative maintenance,,FALSE,,,No,,,n/a,
0033,Spectratest ABS1 Validation Plate,QC,Molecular Devices,Spectratest ABS1,4428,Molecular Devices,200.6117,1231,Yes,Spectratest ABS1 Validation Plate,,,GMP,Yes,No,Yes,,(1) The filters are calibrated for absorbance (optical density) values at 440nm; 465nm; 546nm; 590nm and 635nm at the plate columns (3;4;5;6) with the nominal values being 0.25A; 0.50A; 1.00A and 1.50A; resp. and,CAL-12,No,,,FALSE,,,No,,,,
0034,Spectramax 190 Ext Microplate Reader,QC,Molecular Devices,190,NN02661,Molecular Devices,190,1231,No,Spectramax 190 Ext Microplate Reader,LAL; ELISA; Protein concentration (A280; Bradford Assay) of in-process; intermdiate; final product; buffers; media,Photometric Range: -0.3 to 4.000 OD/Wavelength: 190-850nm/Temp: 37.0°C +/- 2°C,GMP,Yes,Yes,Yes,n/a,Per SOPQC012 verification of the spectromax 190 UV plate reader. Calibration with Spectratest validation plate. Following tests should be acceptable: Optical Alignment; Ultimate Dark;,CAL-1,Yes,n/a,,PM-6,,,No,,,06012-IOQ,eng memo in folder for the LCD board replacement.
0035,Column Manometer (0-10 Bar),PD,Osaka,18-1031-07,894679,GE Healthcare,18-1031-07,908,No,Column Manometer (0-10 Bar),Measures pressure over process columns,0-10 Bar,Other,No,No,Yes,n/a,+/- 0.5 BAR,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,orig belonged to MFG
0036,Column Manometer (0-10 Bar),,Osaka,18-1031-07,894681,GE Healthcare,18-1031-07,1164,No,Column Manometer (0-10 Bar),Measures pressure over process columns,0-10 Bar,Other,No,No,Yes,n/a,+/- 0.5 BAR,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,orig belonged to MFG
0037,Column Manometer (0-10 Bar),PD,Osaka,18-1031-08,894682,GE Healthcare,18-1031-07,1165,No,Column Manometer (0-10 Bar),Measures pressure over process columns,0-10 Bar,Other,No,No,Yes,n/a,+/- 0.5 BAR,CAL-7,Yes,n/a,,PM-7,,,No,,,n/a,orig belonged to MFG
0038,Orbital Shaker,,VWR,05-500,50427002,VWR,14005-830,1200,Yes,Orbital Shaker,Shake cell culture flask for first stage of the production process,250-350 rpms,Other,Yes,Yes,Yes,n/a,within 10% of actual,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,orig belonged to MFG
0039,Hemacytometer,PD,Hausser Scientific,1483,313299,VWR,15170-168,1201,Yes,Hemacytometer,Counting cells,n/a,Other,No,No,No,Chamber is not claibrated,N/A,FALSE,No,No moving parts,,FALSE,,,No,,,n/a,orig belonged to MFG
0040,Digital Long Stem Thermometer,,Control Company,4354-62,41560579,,,,Yes,Digital Long Stem Thermometer,Measure temperature of product. Intermediates; and solutions,-50°C to +250°C,Other,No,No,Yes,Equipment delivered calibrated to NIST Standard. Calibration expires 1/12/07. Equipment will be discarded following expiration of calibration,,FALSE,Yes,No moving parts. Battery will be replaced as needed,,FALSE,,,No,,,n/a,as per chris kelly 9-25-09
0042,Digital Long Stem Thermometer,PD,Control Company,4354-63,41560580,,,,Yes,Digital Long Stem Thermometer,Measure temperature of product. Intermediates; and solutions,-50°C to +250°C,Other,No,No,Yes,Equipment delivered calibrated until 1/12/07. Thermometer will be discarded when calibrated expires,,FALSE,Yes,No moving parts. Battery will be replaced as needed,,FALSE,,,No,,,n/a,as per chris kelly 9-25-09
0043,Digital Long Stem Thermometer,,Control Company,4354-64,41560581,,,,Yes,Digital Long Stem Thermometer,Measure temperature of product. Intermediates; and solutions,-50°C to +250°C,Other,No,No,Yes,Equipment delivered calibrated until 1/12/07. Thermometer will be discarded when calibrated expires,,FALSE,Yes,No moving parts. Battery will be replaced as needed,,FALSE,,,No,,,n/a,as per chris kelly 9-25-09
0044,Digital Long Stem Thermometer,PD,Control Company,4354-65,41560582,,,,Yes,Digital Long Stem Thermometer,Measure temperature of product. Intermediates; and solutions,-50°C to +250°C,Other,No,No,Yes,Equipment delivered calibrated until 1/12/07. Thermometer will be discarded when calibrated expires,,FALSE,Yes,No moving parts. Battery will be replaced as needed,,FALSE,,,No,,,n/a,as per chris kelly 9-25-09
0056,Traceable Four Channel Alarm Timer,,Control Company,62344-641,51054121,,,,No,Traceable Four Channel Alarm Timer,Measure of flow rates and time elapsed of operations,n/a,Other,No,No,Yes,Equipment comes calibrated. When the calibration period has expired; Equipment will be dispositioned out of the process area. Cal date 4/4/05 due date 4/4/07,,FALSE,Yes,PM program exceeeds value of item,,FALSE,,,No,,,n/a,as per chris kelly 9-25-09
0057,Traceable Four Channel Alarm Timer,,Control Company,62344-642,51054122,,,,No,Traceable Four Channel Alarm Timer,Measure of flow rates and time elapsed of operations,n/a,Other,No,No,Yes,Equipment comes calibrated. When the calibration period has expired; Equipment will be dispositioned out of the process area. Cal date 4/4/05 due date 4/4/08,,FALSE,Yes,PM program exceeeds value of item,,FALSE,,,No,,,n/a,as per chris kelly 9-25-09
0058,Traceable Four Channel Alarm Timer,,Control Company,62344-643,51054123,,,,No,Traceable Four Channel Alarm Timer,Measure of flow rates and time elapsed of operations,n/a,Other,No,No,Yes,Equipment comes calibrated. When the calibration period has expired; Equipment will be dispositioned out of the process area. Cal date 4/4/05 due date 4/4/09,,FALSE,Yes,PM program exceeeds value of item,,FALSE,,,No,,,n/a,as per chris kelly 9-25-09
0059,Traceable Four Channel Alarm Timer,,Control Company,62344-644,51054124,,,,No,Traceable Four Channel Alarm Timer,Measure of flow rates and time elapsed of operations,n/a,Other,No,No,Yes,Equipment comes calibrated. When the calibration period has expired; Equipment will be dispositioned out of the process area. Cal date 4/4/05 due date 4/4/10,,FALSE,Yes,PM program exceeeds value of item,,FALSE,,,No,,,n/a,as per chris kelly 9-25-09
0060,Traceable Four Channel Alarm Timer,,Control Company,62344-645,51054125,,,,No,Traceable Four Channel Alarm Timer,Measure of flow rates and time elapsed of operations,n/a,Other,No,No,Yes,Equipment comes calibrated. When the calibration period has expired; Equipment will be dispositioned out of the process area. Cal date 4/4/05 due date 4/4/11,,FALSE,Yes,PM program exceeeds value of item,,FALSE,,,No,,,n/a,as per chris kelly 9-25-09
0061,Traceable Four Channel Alarm Timer,,Control Company,62344-646,51054126,VWR,62344-641,,No,Traceable Four Channel Alarm Timer,Measure of flow rates and time elapsed of operations,n/a,Other,No,No,No,Equipment comes calibrated. When the calibration period has expired; Equipment will be dispositioned out of the process area. Cal date 4/4/05 due date 4/4/12,,FALSE,No,PM program exceeeds value of item,,FALSE,,,No,,,n/a,orig belonged to MFG
0066,Thermometer- Freezer,,HB Instrument Co,61019-212,HB207324,,,,No,Thermometer- Freezer,Measures temperature,-30°C to 0°C,Other,No,No,Yes,n/a,,FALSE,Yes,PM program exceeeds value of item,,FALSE,,,No,,,n/a,
0069,Kenmore Refrigerator,PD,Kenmore,2536072100B,WA425D0525,,,,No,Kenmore Refrigerator,,,Other,No,No,Yes,,4-6 C,CAL-12,Yes,,,PM-12,,,No,,,,no af-owner/loc??
0071,Cabinet CO(2) Incubator,PD,Bellco,BG927,1100103,,,,No,Cabinet CO(2) Incubator,,No,Other,No,No,Yes,,+/- 0.5,CAL-12,Yes,,,PM-12,,,No,,,No,no AF-owner/loc??
0072,Water Bath,PD,Precision,51221050 Model 283,600071770,,,,No,Water Bath,,,Other,No,No,Yes,,temp +/- 0.5°C,CAL-12,Yes,,,PM-12,,,No,,,,no AF-owner/loc??
0073,CO(2) Incubator,,Forma Scientific,3110,28195406,,,,No,CO(2) Incubator,,,Other,No,No,Yes,,+/- 0.5% co2; +/- 0.5°C,CAL-12,Yes,,,PM-12,,,No,,,,no AF-owner/loc??
0074,Co2 Incubator,,Forma Scientific,3110,5661911199,,,,No,Co2 Incubator,,,Other,No,No,Yes,,± 0.5°C & ± 0.5% Co2,CAL-12,Yes,,,PM-12,,,No,,,,no AF-owner/loc??
0075,CO(2) Incubator,,Forma Scientific,3110,5661911996,,,,No,CO(2) Incubator,,,Other,No,No,Yes,,± 0.5,CAL-12,Yes,,,PM-12,,,No,,,,no AF-owner/loc??
0076,CO(2) Incubator,,Forma Scientific,3110,6266511434,,,,No,CO(2) Incubator,,,Other,No,No,Yes,,+/- 0.5% co2; +/- 0.5°C,CAL-12,Yes,,,PM-12,,,No,,,,no AF-owner/loc??
0079,Thermometer- Incubator,,HB Instrument Co,61222-500,T106125,,,,No,Thermometer- Incubator,Additional temperature read out,15°C to 50°C,Other,No,No,Yes,n/a,,FALSE,Yes,PM exceeds item value,,FALSE,,,No,,,n/a,
0080,Thermometer- Incubator,,HB Instrument Co,61222-501,T106126,,,,No,Thermometer- Incubator,Additional temperature read out,15°C to 50°C,Other,No,No,Yes,n/a,,FALSE,Yes,PM exceeds item value,,FALSE,,,No,,,n/a,
0082,Wave 20/50 EH cell cultures unit,,Wave,Base 2050EH,0216 0403 2050EH,,,,Yes,Wave 20/50 EH cell cultures unit,Intermediate stage cell culture in disposable reactor bags,Rock angle; 2-12°; Ropcks per minute (rpm): 0-100; Temp: 0-50°C,Other,Yes,Yes,Yes,n/a,,CAL-6,Yes,n/a,,FALSE,,,No,,,05003-IOQ,
0083,CO(2) monitor mixer pump for Wave 20/50 EH unit,,Wave,CO2MIX20,0304 0604 CO2Mix,,,,Yes,CO(2) monitor mixer pump for Wave 20/50 EH unit,Control and monitor CO2 levels in cell culture,0-15%,Other,Yes,No,Yes,n/a,,CAL-6,Yes,n/a,,FALSE,,,No,,,,
0089,pH Benchtop Meter,,VWR,SB70P,208,VWR,11388-354,1079,Yes,pH Benchtop Meter,Measurement of pH throughout process,0-14,,Yes,Yes,Yes,n/a,pH 4.00; 7.00; 10.00 +/- 0.05,CAL-6,No,Irm does not have any moving parts. Probes are calibrated as part of the unit. Probes and unit are calibrated standardized prior to use on a daily basis; as needed,,FALSE,,,No,,,n/a,Previously Alert's Service Sheet was used as PM Sheet. However upon review; it was realized that there isn't any PM involved with this unit and hence 'No PM' has been marked.
0090,Psychrometer,,Amprobe,THWD-2,4110283,,,,Yes,Psychrometer,Measurement of relative humidity in the air,-4°F to 140°F; 1 to  99% RH,Other,Yes,No,Yes,n/a,,CAL-12,Yes,Cost of item is less than the cost of preventative maintenance program for this item,,FALSE,,,No,,,n/a,
0092,Pump (Watson Marlow),PD,Watson Marlow,6245060.1802.02A,F041888,,,,No,Pump (Watson Marlow),Solution transfers,n/a,Other,Yes,No,Yes,No calibration required pumps units in the desired trandfer sets of solutions,,FALSE,Yes,n/a,,PM-12,,,No,,,n/a,
0093,Pump (Watson Marlow),,Watson Marlow,050.7131.2-A,F010572,Tom Moss,520S/R2,1084,No,Pump (Watson Marlow),Solution Transfers,n/a,GMP,Yes,No,No,No calibration required ,N/A,FALSE,No,n/a,,FALSE,,,No,,,n/a,a brief inspection is done during process change over
0094,Chromatography Column,,Amersham Bioscience,BPG 100/500,0503/1269,,,,No,Chromatography Column,Protein Purification,n/a,Other,Yes,Yes,Yes,Item  does not have equipment on it that need calibration,,FALSE,Yes,No major moving parts. All gaskets and adapters are inspecteesd and cleaned during packing of new reams,,FALSE,,,No,,,n/a,
0095,Chromatography Column,,Amersham Bioscience,BPG 100/501,0503/1270,,,,No,Chromatography Column,Protein Purification,n/a,Other,Yes,Yes,Yes,Item  does not have equipment on it that need calibration,,FALSE,Yes,No major moving parts. All gaskets and seals are inspecteesd and cleaned during packing of new reams,,FALSE,,,No,,,n/a,
0096,Pall Integrity Tester,,Flowstar,FFS-XC-HAM,23-1895 26,Pall,FFS-XC-HAM,883,Yes,Pall Integrity Tester,To test the integrity of any process filters used during operations. Only filters classifies as sterile barriers or used to maintain sterility will be tested,n/a,GMP,Yes,No,Yes,n/a,Pressure: 50 to 6000 +/- 20 mBar for Pressure Transducer P0 and P1; Flow: Check at ~ 8 ml/min; 90 ml/min and 990 ml/min +/- 3% of reading,CAL-12,Yes,n/a,,PM-12,,,No,,,,
0097,Floor Scale,,Amersham Bioscience,2888032001,1135581-IFG,,,,No,Floor Scale,Measurements of weight,0 to 500 kg,Other,Yes,Yes,Yes,n/a,,CAL-6,Yes,n/a,,PM-12,,,No,,,n/a,
0098,REC 112 Flatbed Chart Recorder,PD,Amersham Bioscience,56-3083-25,REC112  003569,,,,No,REC 112 Flatbed Chart Recorder,operations with the UV-1 monitor this item will record the OD on ta strip chart during purification runws,(0-2 OD units),Other,Yes,No,No,n/a,,FALSE,No,Ink pen and chart paper are consumables on this equipment. No major working parts,,FALSE,,,No,,,n/a,
0099,Monitor uv. 1,PD,Amersham Bioscience,18-1003-66,1156862,,,,No,Monitor uv. 1,Equipment will run w/ the flat bed chart recorders ID monitor OD during the Purification runs,n/a,Other,Yes,No,Yes,n/a,,FALSE,Yes,n/a,,FALSE,,,No,,,n/a,
0100,REC 112 Flatbed Chart Recorder,PD,Amersham Bioscience,56-3083-25,REC112  003569,GE Healthcare,18-1132-33,,No,REC 112 Flatbed Chart Recorder,operations with the UV-1 monitor this item will record the OD on ta strip chart during purification runws,(0-2 OD units),Other,Yes,No,No,n/a,n/a,FALSE,No,Ink pen and chart paper are consumables on this equipment. No major working parts,,FALSE,,,No,,,n/a,
0101,Monitor uv. 1,PD,Amersham Bioscience,18-1003-66,1156862,,,,No,Monitor uv. 1,Equipment will run w/ the flat bed chart to monitor OD during the Purification runs,n/a,Other,Yes,No,Yes,n/a,,FALSE,Yes,n/a,,FALSE,,,No,,,n/a,
0102,Floor Scale (500 kg capacity),PD,Amersham Bioscience,2888032001,1135581-IFG,,,,No,Floor Scale (500 kg capacity),Measurements of weight,0 to 500 kg,Other,Yes,Yes,Yes,n/a,,CAL-6,Yes,n/a,,PM-12,,,No,,,n/a,
0103,VWR Inverted microscope,,VWR,12778-198,V200440,,,,No,VWR Inverted microscope,,,Other,No,No,Yes,,,FALSE,Yes,,,PM-12,,,No,,,,
0106,VWR analog dry block Heaters,QC,VWR,N/A,50425014,VWR,13259-032,25378737,Yes,VWR analog dry block Heaters,Used to perform various QC testing protocols on components; in-process materials; drug substance and drug product including but not limited too LAL; ELISA and protein concentration assays,Ambient to 150°C,GMP,No,No,No,n/a,N/A,FALSE,No,VWR heatblock instruction manual does not require any scheduled preventive maitenence,,FALSE,,,No,,,n/a,
0107,Eppendorf Repeater plus pipette,QC,Eppendorf,Repeater plus,4883794,VWR,21516-002,26014111,Yes,Eppendorf Repeater plus pipette,Used to perform various QC testing protocols on components; in-process materials; drug substance and drug product,1µL to 10mL,GMP,No,No,Yes,n/a,100 ul = +/- 0.6%; 1000 ul = +/- 0.5%,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,Level 4
0108,Mettler toledo Balance,QC,Mettler Toledo,AB135-S,1126162561,VWR,11276-886,1239,No,Mettler toledo Balance,Accurate measurement of mass of reagents,0.01mg/0.1mg Dual Range-31g/120g,GMP,No,Yes,Yes,n/a,Eccentricity test: 50g at 5 spots +/- 0.0004g; Sensitivity: 100g +/- 0.0004g; Linearity: 0;20;40;60;80g +/- 0.0002g; Repeatability: 50g 10 times sd+/- 0.0001g,CAL-6,Yes,n/a,,PM-6,,,No,,,08055-IOQ,
0110,CO2 Incubator,PD,VWR,2400,7043305,VWR,35910-514,1480,No,CO2 Incubator,Provide controlled temp/CO2 environment for initial stages of cell culture,CO2: 0-20%; Temp: Ambient to 60°C,Other,Yes,Yes,No,n/a,temp: 37.0 +/- 0.5C; co2 5.0 +/- 0.5%,FALSE,Yes,n/a,,PM-12,,,No,,,05016-IOQ,8/08 to 12/08 cal'd on a 1 month schedule. As of 1/09 changed to semi cal schedule. Associated with 0433-prev alerts sevice sht was used as PM. Mfr suggested PM (see pm tasks)
0111,CO2 Incubator,,VWR,2400,7043305,,,,No,CO2 Incubator,Provide controlled temp/CO2 environment for initial stages of cell culture,CO2: 0-20%; Temp: Ambient to 60°C,Other,Yes,Yes,Yes,n/a,,CAL-6,Yes,n/a,,FALSE,,,No,,,,
0112,Conductivity Meter,,VWR,1056,504052,VWR,1056,1080,Yes,Conductivity Meter,Measurements of salt concentrations in solutions and products,1.999µ° to 199.9m°,GMP,Yes,Yes,Yes,n/a,718 mS +/- 10,CAL-12,No,Item will be standardized on a daily use basis. All information to be recorded in Log Book,,FALSE,,,No,,,n/a,Currently calibrated by Alert In-house. However after discussion with mfgr; it has been decided to send these out to the mfgr who is better equipped to calibrate these units.
