,asset_number,title,department,manufacturer,manufacturer_model_number,manufacturer_serial_number,vendor,vendor_catalog_number,purchase_order_number,portable,asset_description,intended_use,process_range,classification,new_SOP,new_logbooks,calibration_required,calibration_justification_no,calibration_description,calibration_frequency,maintenance_required,maintenance_justification_no,maintenance_description,maintenance_frequency,scan_attached,scan_file,tier_level,qual_val_needed,validation_justification_no,validation_description,protocol_number,comments
12,17,Pump,TBD,Watson Marlow,520S / R2 PUMP,F031394,Tom Moss,060.2009.02A,1084,Yes,Pump,Solution transfers,N/A,Other,Yes,No,No,Item is measured at time of use. Varibales are the speed setting and the tubing size. Flowrate is measured manually; therefore speed settings need not be calibrated,N/A,N/A,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,orig belonged to MFG
13,18,Pipet lite LTS 12-CH pipet 20-200ul,QC,Rainin,L12-200,A0500247A,Rainin,L12-200,1132,Yes,Pipet lite LTS 12-CH pipet 20-200ul,Used to preform various QC testing on components; In'process material; drug substance and drug product,20 mL to 200 mL,GMP,No,No,Yes,N/A,20 ul = +/- 2.5%; 200 ul = +/- 0.8%,CAL-6,Yes,N/A,N/A,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,N/A,N/A,Level 4
14,19,Pipet lite LTS 12-CH pipet 100-1000ul,QC,Rainin,L-1000,C0500768A,Rainin,L-1000,1132,Yes,Pipet lite LTS 12-CH pipet 100-1000ul,Used to preform various QC testing on components; In'process material; drug substance and drug product,100 µL to 1000 µL,GMP,No,No,Yes,N/A,100 ul = +/- 3%; 500 ul = +/- 0.8%; 1000 ul = +/- 0.8%,CAL-6,Yes,N/A,N/A,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,N/A,N/A,Level 4
15,20,Pipette lite LTS pipet 20-200ul,QC,Rainin,L-200,C0501500A,Rainin,L-200,1132,Yes,Pipette lite LTS pipet 20-200ul,Used to preform various QC testing on components; In'process material; drug substance and drug product,20 mL to 200 mL,GMP,No,No,Yes,N/A,20 ul = +/- 2.5%; 100 ul = +/- 0.8%; 200 ul = +/- 0.8%,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
16,21,Pipettte lite LTS pipet 10-100ul,QC,Rainin,L-100,C0505596A,Rainin,L-100,1132,Yes,Pipettte lite LTS pipet 10-100ul,Used to preform various QC testing on components; In'process material; drug substance and drug product,10 µL to 100 µL,GMP,No,No,Yes,N/A,10 ul = +/- 3.5%; 50 & 100 ul = +/- 0.8%,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
17,22,Pipette lite LTS pipet 0.5-10ul,QC,Rainin,L-10,C0504490A,Rainin,L-10,1132,Yes,Pipette lite LTS pipet 0.5-10ul,Used to preform various QC testing on components; In'process material; drug substance and drug product,1 µL to 10 µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,0022_C0504490A Pipette_23Jan18.pdf,Tier 4,No,N/A,N/A,N/A,Level 4
18,23,Pipette lite LTS pipet 2-20ul,TBD,Rainin,L-20,A0504632A,N/A,N/A,N/A,Yes,Pipette lite LTS pipet 2-20ul,Sampling; media and Buffers preperation,2µL to 20µL ,Other,No,No,Yes,N/A,TBD,CAL-6,Yes,Maintenance is part of calibration procedure,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 2-owner/loc??
19,24,Pipet lite LTS pipet 2-20ul,TBD,Rainin,L-21,A0504632A,Rainin,L-20,1151,Yes,Pipet lite LTS pipet 2-20ul,Sampling; media and Buffers preperation,20µL to 200µL ,Other,No,No,Yes,N/A,+/- 3%,CAL-12,No,Maintenance is part of calibration procedure,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,orig belonged to MFG
20,25,Pipette lite LTS pipet 2-20ul,QC,Rainin,L-20,A0506332A,Rainin,L-20,1151,Yes,Pipette lite LTS pipet 2-20ul,Sampling; media and buffer preparation,2 µL to 20 µL,GMP,No,No,Yes,N/A,2 ul = +/- 7.5%; 10 ul = +/- 1.5%; 20 ul = +/- 1%,CAL-6,Yes,Maitenance is part of calibration schedule,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
21,26,Pipet lite LTS pipet 20-200ul,QC,Rainin,L-200,A0506263A,Rainin,L-200,1151,Yes,Pipet lite LTS pipet 20-200ul,Sampling; media and buffer preparation,20 µL to 200 µL,GMP,No,No,Yes,N/A,20 ul = +/- 2.5%; 100 & 200 ul = +/- 0.8%,CAL-6,Yes,Maitenance is part of calibration schedule,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
22,27,Pipette lite LTS pipet 20-200ul,TBD,Rainin,L-22,A0504632A,N/A,N/A,1152,Yes,Pipette lite LTS pipet 20-200ul,Sampling; media and Buffers preperation,20µL to 200µL ,Other,No,No,Yes,N/A,error @ 10% is +/-7.5%; @ 50% is 1.5% & @ 100% is +/-1%,CAL-13,Yes,Maintenance is part of calibration procedure,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 20-owner/loc??
23,28,Pipet lite LTS pipet 20-200ul,QC,Rainin,L-200,A0506267A,Rainin,L-200,1151,Yes,Pipet lite LTS pipet 20-200ul,Sampling; media and buffer preparation,20 µL to 200 µL,GMP,No,No,Yes,N/A,20 ul = +/- 2.5%; 100 & 200 ul = +/- 0.8%,CAL-6,No,Maitenance is part of calibration schedule,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
24,29,Pipet lite LTS pipet 100-1000ul,PD,Rainin,L-23,A0508803A,Rainin,L-1000,1153,Yes,Pipet lite LTS pipet 100-1000ul,Sampling; media and Buffers preperation,100µL to 1000µL ,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,No,N/A,Level 4 PM,N/A,Yes,0029_Pipette_22Jan18.pdf,Tier 4,No,N/A,N/A,N/A,N/A
25,30,Pipet lite LTS pipet 100-1000ul,QC,Rainin,L-1000,A0508109A,Rainin,L-1000,1151,Yes,Pipet lite LTS pipet 100-1000ul,Sampling; media and buffer preparation,100 µL to 1000 µL,GMP,No,No,Yes,N/A,100 ul = +/- 3%; 500 & 1000 ul = +/- 0.8%,CAL-6,Yes,Maitenance is part of calibration schedule,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
26,31,Pipet lite LTS pipet 100-1000ul,QC,Rainin,L-1000,A0508121A,Rainin,L-1000,1151,Yes,Pipet lite LTS pipet 100-1000ul,Sampling; buffer and media prep,100 µL to 1000 µL,GMP,No,No,Yes,N/A,100 ul = +/- 3%; 500 & 1000 ul = +/- 0.8%,CAL-6,Yes,Maitenance is part of calibration schedule,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
27,32,Particle Counter with Temp/RH Sensor (Part # G3120),TBD,Met One,GT-521,E2077,N/A,N/A,N/A,Yes,Particle Counter with Temp/RH Sensor (Part # G3120),To determine the level of total particular in the CMF,N/A,Other,Yes,Yes,Yes,N/A,TBD,FALSE,Yes,Particle counter manual does not require schecduled preventative maintenance,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
28,33,Spectratest ABS1 Validation Plate,QC,Molecular Devices,Spectratest ABS1,4428,Molecular Devices,200.6117,1231,Yes,Spectratest ABS1 Validation Plate,TBD,TBD,GMP,Yes,No,Yes,N/A,(1) The filters are calibrated for absorbance (optical density) values at 440nm; 465nm; 546nm; 590nm and 635nm at the plate columns (3;4;5;6) with the nominal values being 0.25A; 0.50A; 1.00A and 1.50A; resp. and,CAL-12,No,TBD,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
29,34,Spectramax 190 Ext Microplate Reader,QC,Molecular Devices,190,NN02661,Molecular Devices,190,1231,No,Spectramax 190 Ext Microplate Reader,LAL; ELISA; Protein concentration (A280; Bradford Assay) of in-process; intermdiate; final product; buffers; media,Photometric Range: -0.3 to 4.000 OD/Wavelength: 190-850nm/Temp: 37.0°C +/- 2°C,GMP,Yes,Yes,Yes,N/A,Per SOPQC012 verification of the spectromax 190 UV plate reader. Calibration with Spectratest validation plate. Following tests should be acceptable: Optical Alignment; Ultimate Dark;,CAL-1,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,06012-IOQ,eng memo in folder for the LCD board replacement.
30,35,Column Manometer (0-10 Bar),PD,Osaka,18-1031-07,894679,GE Healthcare,18-1031-07,908,No,Column Manometer (0-10 Bar),Measures pressure over process columns,0-10 Bar,Other,No,No,Yes,N/A,+/- 0.5 BAR,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,orig belonged to MFG
31,36,Column Manometer (0-10 Bar),TBD,Osaka,18-1031-07,894681,GE Healthcare,18-1031-07,1164,No,Column Manometer (0-10 Bar),Measures pressure over process columns,0-10 Bar,Other,No,No,Yes,N/A,+/- 0.5 BAR,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,orig belonged to MFG
32,37,Column Manometer (0-10 Bar),PD,Osaka,18-1031-08,894682,GE Healthcare,18-1031-07,1165,No,Column Manometer (0-10 Bar),Measures pressure over process columns,0-10 Bar,Other,No,No,Yes,N/A,+/- 0.5 BAR,CAL-7,Yes,N/A,TBD,PM-7,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,orig belonged to MFG
33,38,Orbital Shaker,TBD,VWR,05-500,50427002,VWR,14005-830,1200,Yes,Orbital Shaker,Shake cell culture flask for first stage of the production process,250-350 rpms,Other,Yes,Yes,Yes,N/A,within 10% of actual,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,orig belonged to MFG
34,39,Hemacytometer,PD,Hausser Scientific,1483,313299,VWR,15170-168,1201,Yes,Hemacytometer,Counting cells,N/A,Other,No,No,No,Chamber is not claibrated,N/A,N/A,No,No moving parts,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,orig belonged to MFG
35,40,Digital Long Stem Thermometer,TBD,Control Company,4354-62,41560579,N/A,N/A,N/A,Yes,Digital Long Stem Thermometer,Measure temperature of product. Intermediates; and solutions,-50°C to +250°C,Other,No,No,Yes,Equipment delivered calibrated to NIST Standard. Calibration expires 1/12/07. Equipment will be discarded following expiration of calibration,TBD,FALSE,Yes,No moving parts. Battery will be replaced as needed,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,as per chris kelly 9-25-09
36,42,Digital Long Stem Thermometer,PD,Control Company,4354-63,41560580,N/A,N/A,N/A,Yes,Digital Long Stem Thermometer,Measure temperature of product. Intermediates; and solutions,-50°C to +250°C,Other,No,No,Yes,Equipment delivered calibrated until 1/12/07. Thermometer will be discarded when calibrated expires,TBD,FALSE,Yes,No moving parts. Battery will be replaced as needed,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,as per chris kelly 9-25-09
37,43,Digital Long Stem Thermometer,TBD,Control Company,4354-64,41560581,N/A,N/A,N/A,Yes,Digital Long Stem Thermometer,Measure temperature of product. Intermediates; and solutions,-50°C to +250°C,Other,No,No,Yes,Equipment delivered calibrated until 1/12/07. Thermometer will be discarded when calibrated expires,TBD,FALSE,Yes,No moving parts. Battery will be replaced as needed,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,as per chris kelly 9-25-09
38,44,Digital Long Stem Thermometer,PD,Control Company,4354-65,41560582,N/A,N/A,N/A,Yes,Digital Long Stem Thermometer,Measure temperature of product. Intermediates; and solutions,-50°C to +250°C,Other,No,No,Yes,Equipment delivered calibrated until 1/12/07. Thermometer will be discarded when calibrated expires,TBD,FALSE,Yes,No moving parts. Battery will be replaced as needed,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,as per chris kelly 9-25-09
39,56,Traceable Four Channel Alarm Timer,TBD,Control Company,62344-641,51054121,N/A,N/A,N/A,No,Traceable Four Channel Alarm Timer,Measure of flow rates and time elapsed of operations,N/A,Other,No,No,Yes,Equipment comes calibrated. When the calibration period has expired; Equipment will be dispositioned out of the process area. Cal date 4/4/05 due date 4/4/07,TBD,FALSE,Yes,PM program exceeeds value of item,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,as per chris kelly 9-25-09
40,57,Traceable Four Channel Alarm Timer,TBD,Control Company,62344-642,51054122,N/A,N/A,N/A,No,Traceable Four Channel Alarm Timer,Measure of flow rates and time elapsed of operations,N/A,Other,No,No,Yes,Equipment comes calibrated. When the calibration period has expired; Equipment will be dispositioned out of the process area. Cal date 4/4/05 due date 4/4/08,TBD,FALSE,Yes,PM program exceeeds value of item,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,as per chris kelly 9-25-09
41,58,Traceable Four Channel Alarm Timer,TBD,Control Company,62344-643,51054123,N/A,N/A,N/A,No,Traceable Four Channel Alarm Timer,Measure of flow rates and time elapsed of operations,N/A,Other,No,No,Yes,Equipment comes calibrated. When the calibration period has expired; Equipment will be dispositioned out of the process area. Cal date 4/4/05 due date 4/4/09,TBD,FALSE,Yes,PM program exceeeds value of item,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,as per chris kelly 9-25-09
42,59,Traceable Four Channel Alarm Timer,TBD,Control Company,62344-644,51054124,N/A,N/A,N/A,No,Traceable Four Channel Alarm Timer,Measure of flow rates and time elapsed of operations,N/A,Other,No,No,Yes,Equipment comes calibrated. When the calibration period has expired; Equipment will be dispositioned out of the process area. Cal date 4/4/05 due date 4/4/10,TBD,FALSE,Yes,PM program exceeeds value of item,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,as per chris kelly 9-25-09
43,60,Traceable Four Channel Alarm Timer,TBD,Control Company,62344-645,51054125,N/A,N/A,N/A,No,Traceable Four Channel Alarm Timer,Measure of flow rates and time elapsed of operations,N/A,Other,No,No,Yes,Equipment comes calibrated. When the calibration period has expired; Equipment will be dispositioned out of the process area. Cal date 4/4/05 due date 4/4/11,TBD,FALSE,Yes,PM program exceeeds value of item,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,as per chris kelly 9-25-09
44,61,Traceable Four Channel Alarm Timer,TBD,Control Company,62344-646,51054126,VWR,62344-641,N/A,No,Traceable Four Channel Alarm Timer,Measure of flow rates and time elapsed of operations,N/A,Other,No,No,No,Equipment comes calibrated. When the calibration period has expired; Equipment will be dispositioned out of the process area. Cal date 4/4/05 due date 4/4/12,N/A,N/A,No,PM program exceeeds value of item,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,orig belonged to MFG
45,66,Thermometer- Freezer,TBD,HB Instrument Co,61019-212,HB207324,N/A,N/A,N/A,No,Thermometer- Freezer,Measures temperature,-30°C to 0°C,Other,No,No,Yes,N/A,TBD,FALSE,Yes,PM program exceeeds value of item,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
46,69,Kenmore Refrigerator,PD,Kenmore,2536072100B,WA425D0525,N/A,N/A,N/A,No,Kenmore Refrigerator,TBD,TBD,Other,No,No,Yes,N/A,4-6 C,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,no af-owner/loc??
47,71,Cabinet CO(2) Incubator,PD,Bellco,BG927,1100103,N/A,N/A,N/A,No,Cabinet CO(2) Incubator,TBD,No,Other,No,No,Yes,N/A,+/- 0.5,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,No,no AF-owner/loc??
48,72,Water Bath,PD,Precision,51221050 Model 283,600071770,N/A,N/A,N/A,No,Water Bath,TBD,TBD,Other,No,No,Yes,N/A,temp +/- 0.5°C,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,no AF-owner/loc??
49,73,CO(2) Incubator,TBD,Forma Scientific,3110,28195406,N/A,N/A,N/A,No,CO(2) Incubator,TBD,TBD,Other,No,No,Yes,N/A,+/- 0.5% co2; +/- 0.5°C,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,no AF-owner/loc??
50,74,Co2 Incubator,TBD,Forma Scientific,3110,5661911199,N/A,N/A,N/A,No,Co2 Incubator,TBD,TBD,Other,No,No,Yes,N/A,± 0.5°C & ± 0.5% Co2,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,no AF-owner/loc??
51,75,CO(2) Incubator,TBD,Forma Scientific,3110,5661911996,N/A,N/A,N/A,No,CO(2) Incubator,TBD,TBD,Other,No,No,Yes,N/A,± 0.5,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,no AF-owner/loc??
52,76,CO(2) Incubator,TBD,Forma Scientific,3110,6266511434,N/A,N/A,N/A,No,CO(2) Incubator,TBD,TBD,Other,No,No,Yes,N/A,+/- 0.5% co2; +/- 0.5°C,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,no AF-owner/loc??
53,79,Thermometer- Incubator,TBD,HB Instrument Co,61222-500,T106125,N/A,N/A,N/A,No,Thermometer- Incubator,Additional temperature read out,15°C to 50°C,Other,No,No,Yes,N/A,TBD,FALSE,Yes,PM exceeds item value,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
54,80,Thermometer- Incubator,TBD,HB Instrument Co,61222-501,T106126,N/A,N/A,N/A,No,Thermometer- Incubator,Additional temperature read out,15°C to 50°C,Other,No,No,Yes,N/A,TBD,FALSE,Yes,PM exceeds item value,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
55,82,Wave 20/50 EH cell cultures unit,TBD,Wave,Base 2050EH,0216 0403 2050EH,N/A,N/A,N/A,Yes,Wave 20/50 EH cell cultures unit,Intermediate stage cell culture in disposable reactor bags,Rock angle; 2-12°; Ropcks per minute (rpm): 0-100; Temp: 0-50°C,Other,Yes,Yes,Yes,N/A,TBD,CAL-6,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,05003-IOQ,N/A
56,83,CO(2) monitor mixer pump for Wave 20/50 EH unit,TBD,Wave,CO2MIX20,0304 0604 CO2Mix,N/A,N/A,N/A,Yes,CO(2) monitor mixer pump for Wave 20/50 EH unit,Control and monitor CO2 levels in cell culture,0-15%,Other,Yes,No,Yes,N/A,TBD,CAL-6,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
57,89,pH Benchtop Meter,TBD,VWR,SB70P,208,VWR,11388-354,1079,Yes,pH Benchtop Meter,Measurement of pH throughout process,0-14,GMP,Yes,Yes,Yes,N/A,pH 4.00; 7.00; 10.00 +/- 0.05,CAL-6,No,Irm does not have any moving parts. Probes are calibrated as part of the unit. Probes and unit are calibrated standardized prior to use on a daily basis; as needed,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Previously Alert's Service Sheet was used as PM Sheet. However upon review; it was realized that there isn't any PM involved with this unit and hence 'No PM' has been marked.
58,90,Psychrometer,TBD,Amprobe,THWD-2,4110283,N/A,N/A,N/A,Yes,Psychrometer,Measurement of relative humidity in the air,-4°F to 140°F; 1 to  99% RH,Other,Yes,No,Yes,N/A,TBD,CAL-12,Yes,Cost of item is less than the cost of preventative maintenance program for this item,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
59,92,Pump (Watson Marlow),PD,Watson Marlow,6245060.1802.02A,F041888,N/A,N/A,N/A,No,Pump (Watson Marlow),Solution transfers,N/A,Other,Yes,No,Yes,No calibration required pumps units in the desired trandfer sets of solutions,TBD,FALSE,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
60,93,Pump (Watson Marlow),TBD,Watson Marlow,050.7131.2-A,F010572,Tom Moss,520S/R2,1084,No,Pump (Watson Marlow),Solution Transfers,N/A,GMP,Yes,No,No,No calibration required ,N/A,N/A,No,N/A,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,a brief inspection is done during process change over
61,94,Chromatography Column,TBD,Amersham Bioscience,BPG 100/500,0503/1269,N/A,N/A,N/A,No,Chromatography Column,Protein Purification,N/A,Other,Yes,Yes,Yes,Item  does not have equipment on it that need calibration,TBD,FALSE,Yes,No major moving parts. All gaskets and adapters are inspecteesd and cleaned during packing of new reams,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,N/A
